"user_input","ai_output","confidence","source"
"-c 50152716","# Kompatibilitetsinformation för Produkt 50152716

**Artikelnummer:** 50152716  

### Passar till
- bäst för att få plats under kortläsaren på väggen  
- sig till eventuella bucklor, och fungerar sedan som vanligt igen  
- sig, för att kunna fungera som vanligt  
","0.8","Produkt 50152716"
"-c 50152717","# Kompatibilitetsinformation för Produkt 50152717

**Artikelnummer:** 50152717  

### Passar till
- bäst för att få plats under kortläsaren på väggen  
- sig till eventuella bucklor, och fungerar sedan som vanligt igen  
- sig, för att kunna fungera som vanligt  
","0.8","Produkt 50152717"
"-c 50152718","# Kompatibilitetsinformation för Produkt 50152718

**Artikelnummer:** 50152718  

### Passar till
- bäst för att få plats under kortläsaren på väggen  
- sig till eventuella bucklor, och fungerar sedan som vanligt igen  
- sig, för att kunna fungera som vanligt  
","0.8","Produkt 50152718"
"-c 50461921","# Kompatibilitetsinformation för Produkt 50461921

**Artikelnummer:** 50461921  

### Passar till
- AK finns även dekaler för kontrastmarkering i vitt eller svart och dekal med text dörröppning

## Specifikationer  
- skyddshuven direkt på underlag  
","0.8","Produkt 50461921"
"-c 61000","# Kompatibilitetsinformation för Produkt 61000

**Artikelnummer:** 61000  

### Passar till
- 24V 5A och i 24V 10A  
- SFP MSA och SFF-8472  
- SGMII

### Produktinformation

10/100/1000M SFP över koppar RJ45, 2633i Transceiver, Upp till 1,25 Gb/s dubbelriktade datalänkar, 1 Gb Ethernet över CAT5-kabel, 1000BASE-T, 10/100/1000 Mbps II-kompatibel, 0Mbps II-kompatibel 70?,

### Snabbfakta

- 100Base-FX Singlemode fiber 20 km
- Hot-swap ger non-stop service
- DDM för enkel statusövervakning

### Produktinformation

Single Mode SFP Transceiver med LC-kontakt, Dual Fiber, 1,25G, 1310nm FP lasersändare och PIN-fotodetektor, kompatibel med SFP MSA och SFF-8472  
- batterikontakt PC01 och PC02  
- för montering inomhus i system utan krav på batteribackup  
- montering inomhus i system utan krav på batteribackup  
- standard 19"" stativ med korta fästjärn  
- väggmontage  
","0.8","Produkt 61000"
"-c 50131","# Kompatibilitetsinformation för Produkt 50131

**Artikelnummer:** 50131  

### Passar till
- 19' stativ  
- J3 & J4<br>kan endast vara av typen TP/FT-10  
- Large-kapslingar och rymmer 2x 45Ah batterier  
- VE735AM finns ett inställningsverktyg som arbetar med laserteknik  
- befintlig centralapparat  
- både AGM-batterier och litium LiFePO4-batterier  
- både trådlösa och trådbundna centralapparater  
- centralapparaten via GB-5000-IN interfacet  
- den balanserade slingan  
- en ATS-central på databussen för utökning av ingångar/utgångar  
- enheter med 15A-25A maxlast  
- enheter med upp till 10A maxlast  
- följande PSV-modeller  
- inbrottslarmsanäggningar  
- inom husmontage och kan monteras antingen i taket eller på väggen, motsatt till det skyddade glaspartiet  
- inomhusbruk  
- inomhusbruk i främst anläggningar för inbrottslarm  
- matning av 24VDC system inom inbrottslarm och passerkontroll  
- sabotagesektion  
- till följande PSV-modeller  
- walk test  
- även till trådat- och vanligt fönsterglas  
","1.0","Produkt 50131"
"-c 50138662","# Kompatibilitetsinformation för Produkt 50138662

**Artikelnummer:** 50138662  
","0.72","Produkt 50138662"
"-c 10000","# Kompatibilitetsinformation för Produkt 10000

**Artikelnummer:** 10000  

### Passar till
- VI modellerna till bankomater, kiosker, små industri- och kontorstillämpningar  
","0.8","Produkt 10000"
"-c 50138663","# Kompatibilitetsinformation för Produkt 50138663

**Artikelnummer:** 50138663  
","0.72","Produkt 50138663"
"-c 62368","# Kompatibilitetsinformation för Produkt 62368

**Artikelnummer:** 62368  

### Passar till
- avbrottsfri strömförsörjning av 8 IP-enheter  
- löpande drift är den inte utrustad med en strömbrytare och därför måste ett lämpligt överbelastningsskydd tillämpas i strömförsörjningskretsen  
- oavbruten strömförsörjning av 4 IP-enheter  
","0.8","Produkt 62368"
"-c 50151788","# Kompatibilitetsinformation för Produkt 50151788

**Artikelnummer:** 50151788  

### Passar till
- avbrottsfri strömförsörjning av 8 IP-enheter  
","0.8","Produkt 50151788"
"-c 50151789","# Kompatibilitetsinformation för Produkt 50151789

**Artikelnummer:** 50151789  

### Passar till
- oavbruten strömförsörjning av 4 IP-enheter  
","0.8","Produkt 50151789"
"-c 50152071","# Kompatibilitetsinformation för Produkt 50152071

**Artikelnummer:** 50152071  

### Passar till
- ett flertal olika kapslingssystem så som det utbud som finns hos bl  
","0.8","Produkt 50152071"
"-c 50152072","# Kompatibilitetsinformation för Produkt 50152072

**Artikelnummer:** 50152072  

### Passar till
- ett flertal olika kapslingssystem så som det utbud som finns hos bl  
","0.8","Produkt 50152072"
"-c 50152073","# Kompatibilitetsinformation för Produkt 50152073

**Artikelnummer:** 50152073  

### Passar till
- ett flertal olika kapslingssystem så som det utbud som finns hos bl  
","0.8","Produkt 50152073"
"-c 50152076","# Kompatibilitetsinformation för Produkt 50152076

**Artikelnummer:** 50152076  

### Passar till
- ett flertal olika kapslingssystem så som det utbud som finns hos bl  
","0.8","Produkt 50152076"
"-c 50152077","# Kompatibilitetsinformation för Produkt 50152077

**Artikelnummer:** 50152077  

### Passar till
- ett flertal olika kapslingssystem så som det utbud som finns hos bl  
","0.8","Produkt 50152077"
"-c 01000","# Kompatibilitetsinformation för Produkt 01000

**Artikelnummer:** 01000  

### Passar till
- NEO Serien  eller NOVA Serien  
","0.8","Produkt 01000"
"-c 10112","# Kompatibilitetsinformation för Batteribackup ECO M

**Artikelnummer:** 10112  

### Passar till
- både AGM-batterier och Litium LiFePO4-batterier  
- både AGM-batterier och litium LiFePO4-batterier  
","0.8","**Batteribackup ECO M**"
"-c ""**Batteribackup ECO M**""","# Kompatibilitetsinformation för Batteribackup ECO M

**Artikelnummer:** 10112  

### Passar till
- både AGM-batterier och Litium LiFePO4-batterier  
- både AGM-batterier och litium LiFePO4-batterier  
","0.7200000000000001","**Batteribackup ECO M**"
"-c 01000024","# Kompatibilitetsinformation för Produkt 01000024

**Artikelnummer:** 01000024  

### Passar till
- väggmontage  
","0.8","Produkt 01000024"
"-c 5213578","# Kompatibilitetsinformation för Produkt 5213578

**Artikelnummer:** 5213578  

### Passar till
- 19"" rackmontage  
- placering emellan rackstolparna i ett 19"" rack  
","0.8","Produkt 5213578"
"-c 5213575","# Kompatibilitetsinformation för Produkt 5213575

**Artikelnummer:** 5213575  

### Passar till
- montering tillsammans med:  
- väggmontage  
- väggmontage alternativt 19"" rackmontage  
","0.8","Produkt 5213575"
"-c 201110","# Kompatibilitetsinformation för Produkt 201110

**Artikelnummer:** 201110  
","0.72","Produkt 201110"
"-c 50152573","# Kompatibilitetsinformation för NEO

**Artikelnummer:** 50152573  
","0.72","NEO"
"-c ""NEO""","# Kompatibilitetsinformation för NEO

**Artikelnummer:** 50152575  
","0.648","NEO"
"-c 50152575","# Kompatibilitetsinformation för NEO

**Artikelnummer:** 50152575  
","0.72","NEO"
"-c 200305","# Kompatibilitetsinformation för Produkt 200305

**Artikelnummer:** 200305  

### Passar till
- montering i 19"" rack  
","0.8","Produkt 200305"
"-c 12101","# Kompatibilitetsinformation för Produkt 12101

**Artikelnummer:** 12101  
","0.72","Produkt 12101"
"-c 0000000","# Kompatibilitetsinformation för Produkt 0000000

**Artikelnummer:** 0000000  

### Passar till
- M6 bult  
- M8 bult  
- rackmontage  
","0.8","Produkt 0000000"
"-c 60950","# Kompatibilitetsinformation för Produkt 60950

**Artikelnummer:** 60950  

### Passar till
- SVN , ROM och SMILE  
- flera olika installationer  
","0.8","BS-Medium 24V"
"-c ""BS-Medium 24V""","# Kompatibilitetsinformation för Produkt 60950

**Artikelnummer:** 60950  

### Passar till
- SVN , ROM och SMILE  
- flera olika installationer  
","0.7200000000000001","BS-Medium 24V"
"-c 50152628","# Kompatibilitetsinformation för Produkt 50152628

**Artikelnummer:** 50152628  

### Passar till
- kortet?

2+2 Output module passar till: PRO2 V3-, PRO 3-

och NEO3-korten, upp till 10 A  
- till: PRO 3 och NEO3-korten, upp till 10 A  
","0.8","Produkt 50152628"
"-c 122410","# Kompatibilitetsinformation för 10 output module POWER SUPPLIES - MADE IN SWEDEN Om kortet

**Artikelnummer:** 122410  

### Passar till
- den batteribackup kortet skall installeras i  
- enheten innan montering sker  
- kortet?

#### 10 output module passar till:  
- med enheten innan montering sker  
- mekanisk är det inte säkert att det stödjs elektriskt  
- till den batteribackup kortet skall installeras i  
","0.8","10 output module POWER SUPPLIES - MADE IN SWEDEN Om kortet"
"-c ""10 output module POWER SUPPLIES - MADE IN SWEDEN Om kortet""","# Kompatibilitetsinformation för 10 output module POWER SUPPLIES - MADE IN SWEDEN Om kortet

**Artikelnummer:** 122410  

### Passar till
- den batteribackup kortet skall installeras i  
- enheten innan montering sker  
- kortet?

#### 10 output module passar till:  
- med enheten innan montering sker  
- mekanisk är det inte säkert att det stödjs elektriskt  
- till den batteribackup kortet skall installeras i  
","0.7200000000000001","10 output module POWER SUPPLIES - MADE IN SWEDEN Om kortet"
"-c 15684","# Kompatibilitetsinformation för Produkt 15684

**Artikelnummer:** 15684  

### Passar till
- AirKey-cylindern även för befintliga dörrar i kulturminnesmärkta byggnader  
- Microsoft SQL Server 2012 och senare  
- SimonsVoss-transponder  
- aktivering av motordrivna lås  
- alla typer av dörrar, kulturmärkta byggnader och dörrar med metallkarm  
- alla typer av nödutgångar med patenterad funktion för återställning av låsfuntionen  
- alla vanliga
- dörrbladstjocklekar  › Monteringsvideor och
- monteringsanvisningar finns att tillgå

(_page_52_Picture_21  
- användning både inom- och utomhus  
- att styra andra maskiner än Electrolux samt annan typ av utrustning där man vill förhindra att utrustningen kan nyttjas utan aktiverat pass  
- befintliga komponenter)  
- branddörrar  
- de tuffaste väderförhållandena  
- dörrar enligt<br>EN 179/1125 )  <br>SKG  
- dörrar med skandinaviska lås på insidan  
- dörrar med skandinaviska lås på utsidan  
- funktion och grafiskt gränssnitt beroende på användare som hanterar larmet  
- för aktivering av motordrivna lås  
- för användning både inom- och utomhus  
- för branddörrar  
- för installation i  
- för installation i branddörrar  
- för installation i manöverskåp  
- för installation i nyckelbrytare  
- för installation i nyckelfacksrör  
- för installation i<br>branddörrar  
- för montering på vanliga dörrar med godkända regellås av nordisk standard typ ASSA 8765, 410 eller DORMA 912,919 och behöver varken DB-50 eller annan elektronik för att ansluta till undercentral UC-50  
- för montering på vanliga dörrar med godkända regellås av nordisk standardtyp ASSA 8765, 410 eller DORMA 912

och behöver varken DB-50 eller annan elektronik för att ansluta till undercentral UC-50  
- hänglåset för användning inom- och utomhus, och är skyddat mot vatten och damm  
- ingång för dörravkänning på DB-50  
- ingång för dörrövervakning på DIO-5084  
- ingång på centralapparat eller anslutningsenhet för det externa larmsystemet  
- installation i  
- installation i branddörrar  
- installation i manöverskåp  
- installation i nyckelbrytare  
- installation i nyckelfacksrör  
- installation i<br>branddörrar  
- kulturhistoriskt värdefulla dörrar där endast cylinderna kan bytas ut av bevarandeskäl  
- ledig ingång på DIO:n som ""Dörravkänning""  
- ledig ingång på en DIO-5084 som ""Låskolvsläge olåst""  
- montering på vanliga dörrar med godkända regellås av nordisk standard typ ASSA 8765, 410 eller DORMA 912,919 och behöver varken DB-50 eller annan elektronik för att ansluta till undercentral UC-50  
- montering på vanliga dörrar med godkända regellås av nordisk standardtyp ASSA 8765, 410 eller DORMA 912

och behöver varken DB-50 eller annan elektronik för att ansluta till undercentral UC-50  
- nner- och ytterdörrar med höga säkerhetskrav som  
- nner- och ytterdörrar med höga säkerhetskrav som<br>utsätts för tuffa väderförhållanden  
- nner- och ytterdörrar med höga<br>säkerhetskrav som utsätts för tuffa<br>väderförhållanden  
- nnerdörrar med höga säkerhetskrav<br>som utsätts för tuffa väderförhållanden  
- nstallation i branddörrar  
- olika dörrmiljöer, till exempel garagedörrar  
- styrenheten   4 mm tjock glaspanel  <br>Händelselogg   Integrerat EAL5+-certifierat säkerhetselement  <br>ECDSA- och AES-kryptering  
- säkerhetsområden  
- utmärkt för alla typer av dörrar, kulturmärkta byggnader och dörrar med metallkarm  
- utmärkt för dörrar som avgränsar två områden  
- utomhus
- › Passar alla konventionella lås
- › Passar flerpunktslås
- › Drivs med vanliga CR2 batterier
- › 90 minuters brandskydd
- › ECDSA- och AES-kryptering för säker anslutning mellan komponenter

(_page_52_Picture_9  
- vanliga inner- och ytterdörrar med modullåshus av nordisk standard och behöver varken DB eller annan elektronik för att ansluta till undercentral UC-50  
- ytterdörrar med höga säkerhetskrav som<br>utsätts för tuffa väderförhållanden  
- ytterdörrar med höga säkerhetskrav<br>som utsätts för tuffa väderförhållanden  
","0.8","Produkt 15684"
"-c 50154633","# Kompatibilitetsinformation för Produkt 50154633

**Artikelnummer:** 50154633  
","0.72","Produkt 50154633"
"-c 52230","# Kompatibilitetsinformation för Produkt 52230

**Artikelnummer:** 52230  

### Passar till
- löpande drift är den inte utrustad med en strömbrytare och därför måste ett lämpligt överbelastningsskydd tillämpas i strömförsörjningskretsen  
- oavbruten strömförsörjning av 4 IP-enheter  
","0.8","Produkt 52230"
"-c 3004850","# Kompatibilitetsinformation för Produkt 3004850

**Artikelnummer:** 3004850  

### Passar till
- avbrottsfri strömförsörjning av 8 IP-enheter  
- löpande drift är den inte utrustad med en strömbrytare och därför måste ett lämpligt överbelastningsskydd tillämpas i strömförsörjningskretsen  
","0.8","Produkt 3004850"
"-c 50155067","# Kompatibilitetsinformation för Produkt 50155067

**Artikelnummer:** 50155067  
","0.72","Produkt 50155067"
"-c 50155068","# Kompatibilitetsinformation för Produkt 50155068

**Artikelnummer:** 50155068  
","0.72","Produkt 50155068"
"-c 50155069","# Kompatibilitetsinformation för Produkt 50155069

**Artikelnummer:** 50155069  
","0.72","Produkt 50155069"
"-c 50155070","# Kompatibilitetsinformation för Produkt 50155070

**Artikelnummer:** 50155070  
","0.72","Produkt 50155070"
"-c 50155071","# Kompatibilitetsinformation för Produkt 50155071

**Artikelnummer:** 50155071  
","0.72","Produkt 50155071"
"-c 002404","# Kompatibilitetsinformation för Produkt 002404

**Artikelnummer:** 002404  

### Passar till
- enheten innan montering sker  
- kortet i<br>samtliga batteribackuper FLX S, FLX M<br>och FLX L samt för 19 rack DIN module<br>holder, se nedan  
- med enheten innan montering sker  
- mekanisk är det inte säkert att det stödjs elektriskt  
- plint P3 + och P4 -  
- även i  
","0.8","Produkt 002404"
"-c 010000","# Kompatibilitetsinformation för Produkt 010000

**Artikelnummer:** 010000  

### Passar till
- väggmontage  
","0.8","Produkt 010000"
"-c 10024","# Kompatibilitetsinformation för Produkt 10024

**Artikelnummer:** 10024  

### Passar till
- både AGM-batterier och litium LiFePO4-batterier  
","0.8","Produkt 10024"
"-c 001001","# Kompatibilitetsinformation för Produkt 001001

**Artikelnummer:** 001001  

### Passar till
- PoE-switchens batterianslutning 

# Ungefärliga batteritider

En dörrmiljö med läsarterminal med inaktivt elektriskt lås motsvarar normalt en last på mindre än 6W  
- batterianslutningen, koppla batterierna i serie med medföljande kablage  
","0.8","Produkt 001001"
"-c 10224","# Kompatibilitetsinformation för Produkt 10224

**Artikelnummer:** 10224  

### Passar till
- batteribox

## Flexibilitet

NEO FLX S kan ha en extra batteribox  
- batteribox

### Flexibilitet

NEO FLX S kan ha en extra batteribox  
- batteribox

#### 7  
- fast installation  
","0.8","PRODUKTBLAD - STRÖMFÖRSÖRJNING FRÅN MILLETEKNIK"
"-c ""PRODUKTBLAD - STRÖMFÖRSÖRJNING FRÅN MILLETEKNIK""","# Kompatibilitetsinformation för PRODUKTBLAD - STRÖMFÖRSÖRJNING FRÅN MILLETEKNIK

**Artikelnummer:** 5213663  

### Passar till
- fast installation  
","0.7200000000000001","PRODUKTBLAD - STRÖMFÖRSÖRJNING FRÅN MILLETEKNIK"
"-c 5213626","# Kompatibilitetsinformation för PRODUKTBLAD - STRÖMFÖRSÖRJNING FRÅN MILLETEKNIK

**Artikelnummer:** 5213626  
","0.8","PRODUKTBLAD - STRÖMFÖRSÖRJNING FRÅN MILLETEKNIK"
"-c 5270098","# Kompatibilitetsinformation för PRODUKTBLAD - STRÖMFÖRSÖRJNING FRÅN MILLETEKNIK

**Artikelnummer:** 5270098  
","0.8","PRODUKTBLAD - STRÖMFÖRSÖRJNING FRÅN MILLETEKNIK"
"-c 10212","# Kompatibilitetsinformation för PRODUKTBLAD - STRÖMFÖRSÖRJNING FRÅN MILLETEKNIK

**Artikelnummer:** 10212  

### Passar till
- fast installation  
","0.8","PRODUKTBLAD - STRÖMFÖRSÖRJNING FRÅN MILLETEKNIK"
"-c 000024","# Kompatibilitetsinformation för PRODUKTBLAD - STRÖMFÖRSÖRJNING FRÅN MILLETEKNIK

**Artikelnummer:** 000024  

### Passar till
- fast installation  
- till  
","1.0","PRODUKTBLAD - STRÖMFÖRSÖRJNING FRÅN MILLETEKNIK"
"-c 5230546","# Kompatibilitetsinformation för Produkt 5230546

**Artikelnummer:** 5230546  

### Passar till
- FÖLJANDE UPS:ER  
- TILL FÖLJANDE UPS:ER  
- UPS i FLX L kapsling  
- följande UPS:er  4  
- följande UPS:er \\[4\\]] UPS:er denna batteribox passar till  
- till följande UPS:er  4  
- till följande UPS:er \\[4\\]] UPS:er denna batteribox passar till  
","0.8","Produkt 5230546"
"-c 5213662","# Kompatibilitetsinformation för PRODUKTBLAD - STRÖMFÖRSÖRJNING FRÅN MILLETEKNIK

**Artikelnummer:** 5213662  

### Passar till
- fast installation  
","0.8","PRODUKTBLAD - STRÖMFÖRSÖRJNING FRÅN MILLETEKNIK"
"-c 62040","# Kompatibilitetsinformation för Produkt 62040

**Artikelnummer:** 62040  

### Passar till
- NÖDLJUSSTYRNING

Tändfas saknas  
- fast installation  
","0.8","Produkt 62040"
"-c 5213660","# Kompatibilitetsinformation för PRODUKTBLAD - STRÖMFÖRSÖRJNING FRÅN MILLETEKNIK

**Artikelnummer:** 5213660  

### Passar till
- fast installation  
","0.8","PRODUKTBLAD - STRÖMFÖRSÖRJNING FRÅN MILLETEKNIK"
"-c 00031","# Kompatibilitetsinformation för PRODUKTBLAD - STRÖMFÖRSÖRJNING FRÅN MILLETEKNIK

**Artikelnummer:** 00031  

### Passar till
- fast installation  
","0.8","PRODUKTBLAD - STRÖMFÖRSÖRJNING FRÅN MILLETEKNIK"
"-c 5213663","# Kompatibilitetsinformation för PRODUKTBLAD - STRÖMFÖRSÖRJNING FRÅN MILLETEKNIK

**Artikelnummer:** 5213663  

### Passar till
- fast installation  
","0.8","PRODUKTBLAD - STRÖMFÖRSÖRJNING FRÅN MILLETEKNIK"
"-c 3568888","# Kompatibilitetsinformation för Produkt 3568888

**Artikelnummer:** 3568888  

### Passar till
- fast installation  
","0.8","Produkt 3568888"
"-c 50464773","# Kompatibilitetsinformation för Produkt 50464773

**Artikelnummer:** 50464773  

### Passar till
- alla enheter i produktserien  
","0.8","Produkt 50464773"
"-c 50464774","# Kompatibilitetsinformation för Produkt 50464774

**Artikelnummer:** 50464774  

### Passar till
- alla enheter i produktserien  
","0.8","Produkt 50464774"
"-c 20231015","# Kompatibilitetsinformation för Produkt 20231015

**Artikelnummer:** 20231015  

### Passar till
- fast installation  
","0.8","Produkt 20231015"
"-c 50464883","# Kompatibilitetsinformation för SM40 0,5-10A STRÖMFÖRSÖRJNING MED PLATS FÖR BATTERIER

**Artikelnummer:** 50464883  
","0.72","SM40 0,5-10A STRÖMFÖRSÖRJNING MED PLATS FÖR BATTERIER"
"-c ""SM40 0,5-10A STRÖMFÖRSÖRJNING MED PLATS FÖR BATTERIER""","# Kompatibilitetsinformation för SM40 0,5-10A STRÖMFÖRSÖRJNING MED PLATS FÖR BATTERIER

**Artikelnummer:** 50464884  
","0.648","SM40 0,5-10A STRÖMFÖRSÖRJNING MED PLATS FÖR BATTERIER"
"-c 50464884","# Kompatibilitetsinformation för SM40 0,5-10A STRÖMFÖRSÖRJNING MED PLATS FÖR BATTERIER

**Artikelnummer:** 50464884  
","0.72","SM40 0,5-10A STRÖMFÖRSÖRJNING MED PLATS FÖR BATTERIER"
"-c 28160194","# Kompatibilitetsinformation för Produkt 28160194

**Artikelnummer:** 28160194  

### Passar till
- alla batteribackupper upp till 10A  
","0.8","Produkt 28160194"
"-c 600054","# Kompatibilitetsinformation för Produkt 600054

**Artikelnummer:** 600054  

### Passar till
- PE6GEB, PE6TEA PE6TJ

ARTICLE INFORMATION: Art  
- till PE6GEB, PE6TEA PE6TJ

ARTICLE INFORMATION: Art  
","0.8","Produkt 600054"
"-c 602024","# Kompatibilitetsinformation för Produkt 602024

**Artikelnummer:** 602024  
","0.72","Produkt 602024"
"-c 161207","# Kompatibilitetsinformation för Produkt 161207

**Artikelnummer:** 161207  

### Passar till
- att släcka bränder i exempelvis datarum, elektriska installationer, storkök etc  
- ditt bruksområde enligt informationen på brandsläckarens etikett  
- släckning av bränder i olika material såsom brandfarliga vätskor och kemikalier  
- till ditt bruksområde enligt informationen på brandsläckarens etikett  
","0.8","Produkt 161207"
"-c 210705","# Kompatibilitetsinformation för Produkt 210705

**Artikelnummer:** 210705  

### Passar till
- ditt bruksområde enligt informationen på brandsläckarens etikett  
- till ditt bruksområde enligt informationen på brandsläckarens etikett  
","0.8","Produkt 210705"
"-c 50460872","# Kompatibilitetsinformation för Produkt 50460872

**Artikelnummer:** 50460872  

### Passar till
- för villan, företaget och industrin som erbjuder mer än bara säkerhet  
- n

Snygga produkter som har en tilltalande design och som passar in i miljön är mycket viktigt  
- utomhusbruk, kan man styra både larmsystemet och lås  
- villan, företaget och industrin som erbjuder mer än bara säkerhet  
","0.8","Produkt 50460872"
"-c 10009180","# Kompatibilitetsinformation för Produkt 10009180

**Artikelnummer:** 10009180  
","0.8","Produkt 10009180"
"-c 10009198","# Kompatibilitetsinformation för Produkt 10009198

**Artikelnummer:** 10009198  
","0.8","Produkt 10009198"
"-c 10009213","# Kompatibilitetsinformation för Produkt 10009213

**Artikelnummer:** 10009213  
","0.8","Produkt 10009213"
"-c 10009219","# Kompatibilitetsinformation för Produkt 10009219

**Artikelnummer:** 10009219  
","0.8","Produkt 10009219"
"-c 10009223","# Kompatibilitetsinformation för Produkt 10009223

**Artikelnummer:** 10009223  
","0.8","Produkt 10009223"
"-c 10009237","# Kompatibilitetsinformation för Produkt 10009237

**Artikelnummer:** 10009237  
","0.8","Produkt 10009237"
"-c 10009240","# Kompatibilitetsinformation för Produkt 10009240

**Artikelnummer:** 10009240  
","0.8","Produkt 10009240"
"-c 10009241","# Kompatibilitetsinformation för Produkt 10009241

**Artikelnummer:** 10009241  
","0.8","Produkt 10009241"
"-c 10009244","# Kompatibilitetsinformation för Produkt 10009244

**Artikelnummer:** 10009244  
","0.8","Produkt 10009244"
"-c 10009248","# Kompatibilitetsinformation för Produkt 10009248

**Artikelnummer:** 10009248  
","0.8","Produkt 10009248"
"-c 10009258","# Kompatibilitetsinformation för Produkt 10009258

**Artikelnummer:** 10009258  

### Passar till
- dörrar med normala/höga säkerhetskrav  
- hop med montagestolpar serie T-  
","0.8","Produkt 10009258"
"-c 10009272","# Kompatibilitetsinformation för Produkt 10009272

**Artikelnummer:** 10009272  

### Passar till
- ROBUST montagstolpar serie T-  
","0.8","Produkt 10009272"
"-c 10009692","# Kompatibilitetsinformation för Produkt 10009692

**Artikelnummer:** 10009692  
","0.8","Produkt 10009692"
"-c 10009799","# Kompatibilitetsinformation för Produkt 10009799

**Artikelnummer:** 10009799  
","0.72","Produkt 10009799"
"-c 817121","# Kompatibilitetsinformation för Produkt 817121

**Artikelnummer:** 817121  
","0.8","Produkt 817121"
"-c 10010029","# Kompatibilitetsinformation för Produkt 10010029

**Artikelnummer:** 10010029  

### Passar till
- bra som daglåsning och intern låsning inom handel, kontor och industri eller i entréer och allmänna utrymmen i flerfamiljshus  
","0.8","Produkt 10010029"
